nt_code,microbe_label,species_label,species_name,genus,family,phylum,ENZ001,ENZ002,ENZ003,ENZ004,ENZ005,ENZ006,ENZ007,ENZ008,ENZ009,ENZ010,ENZ011,ENZ012,ENZ013,ENZ014,ENZ015,ENZ016
NT5057,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-20 Strain 3_1_12; 457424,Bacteroides,Bacteroidaceae,Bacteroidetes,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5058,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-709 Strain CL07T00C01; 997882,,,,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5059,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-710 Strain CL07T12C05; 997883,,,,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5060,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-711 Strain CL05T00C42; 997880,,,,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5061,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-714 Strain CL03T12C07; 997879,,,,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5062,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-712,,,,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5063,Bacteroides fragilis,Bacteroides fragilis,Bacteroides fragilis (S2) HM-713,,,,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5064,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Bacteroides xylanisolvens (S2) HM-722,Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5065,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) HM-715,Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,0.35,0.8,0.35,0.8
NT5066,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) HM-716,,,,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,0.35,0.8,0.35,0.8
NT5067,Eubacterium halii,Eubacterium halii,Eubacterium halii (S1) DSM 3353,,,,,0.8,,,0.8,0.8,,,0.8,0.8,,,0.35,0.8,0.35,0.8
NT5067,Eubacterium halii,Eubacterium halii,Eubacterium halii (S1) DSM 3353,Eubacterium,,,0.6,,,,,,,,,,0.8,0.8,,,,
NT5068,Eubacterium limosum,Eubacterium limosum,Eubacterium limosum (S2) DSM 20543,Eubacterium,,,0.6,,,,,,,,,,0.8,0.8,0.6,,,
NT5069,Blautia obeum,Blautia obeum,Blautia obeum (S1) DSM 25238,Blautia,Lachnospiraceae,Firmicutes,0.35,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.35,0.35,0.8,0.35,
NT5070,Alistipes shahii,Alistipes shahii,Alistipes shahii (S1) DSM 19121,,,,0.8,,,,0.8,0.8,0.8,,0.8,0.8,,,,0.8,0.35,0.8
NT5070,Alistipes shahii,Alistipes shahii,Alistipes shahii (S1) DSM 19121,Alistipes,,,,0.6,,,,,,,,,,,,,,
